,titulo,link,precio_eur
0,Ps5 Version Disco 1.5 Tb Oferta Hasta El Lunes,https://articulo.mercadolibre.com.mx/MLM-2157799819-ps5-version-disco-15-tb-oferta-hasta-el-lunes-_JM?searchVariation=181866604438#searchVariation%3D181866604438%26position%3D3%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,390.0
1,Consola Sony Playstation 5 Digital Color Blanco,https://articulo.mercadolibre.com.mx/MLM-2126429995-consola-sony-playstation-5-digital-color-blanco-_JM?searchVariation=181459205086#searchVariation%3D181459205086%26position%3D4%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,425.0
2,Sony Playstation 5 Slim 1tb Standard Color  Blanco 2022 Used,https://articulo.mercadolibre.com.mx/MLM-2084286345-sony-playstation-5-slim-1tb-standard-color-blanco-2022-used-_JM?searchVariation=183320935133#searchVariation%3D183320935133%26position%3D5%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,447.4500000000001
3,Sony Playstation 5 Digital,https://articulo.mercadolibre.com.mx/MLM-3440601344-sony-playstation-5-digital-_JM?searchVariation=182091625138#searchVariation%3D182091625138%26position%3D6%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,309.95000000000005
4,Playstation 5 Versión Cfi-1115a De 825 Gb Unidad Óptica Blu-,https://articulo.mercadolibre.com.mx/MLM-2126459103-playstation-5-version-cfi-1115a-de-825-gb-unidad-optica-blu--_JM?searchVariation=184445979995#searchVariation%3D184445979995%26position%3D7%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,420.0
5,Sony Playstation 5 Standard Cfi-1016a 825gb Standard  2020,https://articulo.mercadolibre.com.mx/MLM-3441243592-sony-playstation-5-standard-cfi-1016a-825gb-standard-2020-_JM?searchVariation=182094081302#searchVariation%3D182094081302%26position%3D8%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,420.0
6,Playstation 5 Versión Disco,https://articulo.mercadolibre.com.mx/MLM-3304115704-playstation-5-version-disco-_JM?searchVariation=181334687746#searchVariation%3D181334687746%26position%3D9%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,410.0
7,Sony Playstation 5 Cfi-11 825gb Standard,https://articulo.mercadolibre.com.mx/MLM-2154020481-sony-playstation-5-cfi-11-825gb-standard-_JM?searchVariation=181821503142#searchVariation%3D181821503142%26position%3D10%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,379.9500000000001
8,"Consola Sony Playstation 5 825gb Standard, Kinect, Usado (g)",https://articulo.mercadolibre.com.mx/MLM-2035184213-consola-sony-playstation-5-825gb-standard-kinect-usado-g-_JM?searchVariation=180054690184#searchVariation%3D180054690184%26position%3D11%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,424.9500000000001
9,Sony Playstation 5 825gb Blanco 2022.,https://articulo.mercadolibre.com.mx/MLM-2106270535-sony-playstation-5-825gb-blanco-2022-_JM?searchVariation=183846875651#searchVariation%3D183846875651%26position%3D12%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,500.0
10,Sony Playstation 5 825gb,https://articulo.mercadolibre.com.mx/MLM-3431512152-sony-playstation-5-825gb-_JM?searchVariation=185733018589#searchVariation%3D185733018589%26position%3D13%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,450.0
11,Play Station 5 825gb 8k Caja Garantia Impecable,https://articulo.mercadolibre.com.mx/MLM-1881896751-play-station-5-825gb-8k-caja-garantia-impecable-_JM?searchVariation=177830083219#searchVariation%3D177830083219%26position%3D14%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,450.0
12,Consola Ps5 Digital 825gb Dualsense + Dbz Sparking Zero,https://articulo.mercadolibre.com.mx/MLM-2173531235-consola-ps5-digital-825gb-dualsense-dbz-sparking-zero-_JM?searchVariation=182077852924#searchVariation%3D182077852924%26position%3D15%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,375.0
13,Play Station 5 Standar Blanco Sony 825g,https://articulo.mercadolibre.com.mx/MLM-3407768742-play-station-5-standar-blanco-sony-825g-_JM?searchVariation=181896811280#searchVariation%3D181896811280%26position%3D16%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,474.9500000000001
14,"Consola Sony Playstation 5 825gb , Usado (g)",https://articulo.mercadolibre.com.mx/MLM-2855296022-consola-sony-playstation-5-825gb-usado-g-_JM?searchVariation=181641481469#searchVariation%3D181641481469%26position%3D17%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,419.9500000000001
15,Sony Playstation 5 Digital Ragnarok,https://articulo.mercadolibre.com.mx/MLM-3144837580-sony-playstation-5-digital-ragnarok-_JM?searchVariation=180743824952#searchVariation%3D180743824952%26position%3D18%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,479.9500000000001
16,Sony Playstation 5 Digital 825gb Marvel Spider-man 2,https://articulo.mercadolibre.com.mx/MLM-2172324469-sony-playstation-5-digital-825gb-marvel-spider-man-2-_JM?searchVariation=185787887917#searchVariation%3D185787887917%26position%3D19%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
17,Sony Playstation 5 God Of War Ragnarok Bundle,https://articulo.mercadolibre.com.mx/MLM-2156201999-sony-playstation-5-god-of-war-ragnarok-bundle-_JM?searchVariation=185288723207#searchVariation%3D185288723207%26position%3D20%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,749.5
18,Consola Sony Playstation Ps5 Digital + Dualsense Blanconegro,https://articulo.mercadolibre.com.mx/MLM-2149150261-consola-sony-playstation-ps5-digital-dualsense-blanconegro-_JM?searchVariation=185059260965#searchVariation%3D185059260965%26position%3D21%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,425.0
19,Consola Playstation 5 De 825 Gb Con Control Y 2 Juegos,https://articulo.mercadolibre.com.mx/MLM-2164084217-consola-playstation-5-de-825-gb-con-control-y-2-juegos-_JM?searchVariation=185540575087#searchVariation%3D185540575087%26position%3D22%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,429.9500000000001
20,Sony Playstation 5 Con Disco,https://articulo.mercadolibre.com.mx/MLM-3160542092-sony-playstation-5-con-disco-_JM?searchVariation=180799721146#searchVariation%3D180799721146%26position%3D23%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,425.0
21,Playstation 5 Versión Digital + 2 Tb En Ssd Samsung 980 Pro,https://articulo.mercadolibre.com.mx/MLM-2266313478-playstation-5-version-digital-2-tb-en-ssd-samsung-980-pro-_JM?searchVariation=178662767867#searchVariation%3D178662767867%26position%3D24%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,460.0
22,Consola Playstation 5  Sony Slim 1tb,https://articulo.mercadolibre.com.mx/MLM-2173858965-consola-playstation-5-sony-slim-1tb-_JM?searchVariation=182084487568#searchVariation%3D182084487568%26position%3D25%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,435.0
23,Playstation5/standard/internacional/2juegos(gow-r/spmilesm),https://articulo.mercadolibre.com.mx/MLM-2169678865-playstation5standardinternacional2juegosgow-rspmilesm-_JM?searchVariation=185708640393#searchVariation%3D185708640393%26position%3D26%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,380.0
24,Sony Playstation 5 Slim Digital 1tb Color Blanco,https://articulo.mercadolibre.com.mx/MLM-3424947486-sony-playstation-5-slim-digital-1tb-color-blanco-_JM?searchVariation=181996918464#searchVariation%3D181996918464%26position%3D27%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,467.5
25,Playstation5 Digital 825gb Digital Con 3 Controles,https://articulo.mercadolibre.com.mx/MLM-3366075484-playstation5-digital-825gb-digital-con-3-controles-_JM?searchVariation=184922036233#searchVariation%3D184922036233%26position%3D28%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
26,Sony Playstation 5 Digital Edition Blanca,https://articulo.mercadolibre.com.mx/MLM-3402506358-sony-playstation-5-digital-edition-blanca-_JM?searchVariation=181866517310#searchVariation%3D181866517310%26position%3D29%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,500.0
27,Sony Playstation 5 Standard 825gb God Of War Ragnarök,https://articulo.mercadolibre.com.mx/MLM-3309233090-sony-playstation-5-standard-825gb-god-of-war-ragnarok-_JM?searchVariation=184245167375#searchVariation%3D184245167375%26position%3D30%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
28,Play Station 5 Marvel's Spiderman,https://articulo.mercadolibre.com.mx/MLM-2170092471-play-station-5-marvels-spiderman-_JM?searchVariation=182032015628#searchVariation%3D182032015628%26position%3D31%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,500.0
29,Sony Playstation 5 825gb Digital Edition Color Blanco Negro,https://articulo.mercadolibre.com.mx/MLM-2170598309-sony-playstation-5-825gb-digital-edition-color-blanco-negro-_JM?searchVariation=182038535486#searchVariation%3D182038535486%26position%3D32%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,499.9500000000001
30,Playstation 5 Standard Cfi-1015a 825gb  Color Blanco 2020,https://articulo.mercadolibre.com.mx/MLM-3420453846-playstation-5-standard-cfi-1015a-825gb-color-blanco-2020-_JM?searchVariation=181968784608#searchVariation%3D181968784608%26position%3D33%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,375.0
31,Consola Sony Playstation 5 Standard Color Blanco Cm,https://articulo.mercadolibre.com.mx/MLM-2009632695-consola-sony-playstation-5-standard-color-blanco-cm-_JM?searchVariation=181513628609#searchVariation%3D181513628609%26position%3D34%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,545.0
32,Sony Playstation 5 825gb Estándar Blanco Y Negro,https://articulo.mercadolibre.com.mx/MLM-2167313673-sony-playstation-5-825gb-estandar-blanco-y-negro-_JM?searchVariation=185640419409#searchVariation%3D185640419409%26position%3D35%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
33,Consola Ps5 Digital 825gb  Spiderman 2,https://articulo.mercadolibre.com.mx/MLM-2138147125-consola-ps5-digital-825gb-spiderman-2-_JM?searchVariation=181589832910#searchVariation%3D181589832910%26position%3D36%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,610.0
34,Sony Playstation 5 Standard Edition,https://articulo.mercadolibre.com.mx/MLM-3420186024-sony-playstation-5-standard-edition-_JM?searchVariation=181967262950#searchVariation%3D181967262950%26position%3D37%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,497.5
35,Consola Playstation 5 Edición Digital Color Blanco/negro,https://articulo.mercadolibre.com.mx/MLM-2171052749-consola-playstation-5-edicion-digital-color-blanconegro-_JM?searchVariation=185743818245#searchVariation%3D185743818245%26position%3D38%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,430.0
36,Playstation 5 - Sony,https://articulo.mercadolibre.com.mx/MLM-2161953489-playstation-5-sony-_JM?searchVariation=185474015775#searchVariation%3D185474015775%26position%3D39%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,425.0
37,Sony Playstation 5 825gb Digital Edition,https://articulo.mercadolibre.com.mx/MLM-1860003499-sony-playstation-5-825gb-digital-edition-_JM?searchVariation=177142191935#searchVariation%3D177142191935%26position%3D40%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,475.0
38,Playstation 5 Nuevo Sellado Con Lector De Discos + 3 Juegos,https://articulo.mercadolibre.com.mx/MLM-1733796436-playstation-5-nuevo-sellado-con-lector-de-discos-3-juegos-_JM?searchVariation=176241017954#searchVariation%3D176241017954%26position%3D41%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,500.0
39,Consola Playstation 5 Edición Digital Color Blanco/negro,https://articulo.mercadolibre.com.mx/MLM-2135258471-consola-playstation-5-edicion-digital-color-blanconegro-_JM?searchVariation=184672782959#searchVariation%3D184672782959%26position%3D42%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,600.0
40,Vendo Sony Playstation 5 825gb Standard,https://articulo.mercadolibre.com.mx/MLM-3440964480-vendo-sony-playstation-5-825gb-standard-_JM?searchVariation=185854127003#searchVariation%3D185854127003%26position%3D43%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
41,Sony Playstation 5  Digital Edition  L4150 Series,https://articulo.mercadolibre.com.mx/MLM-897134126-sony-playstation-5-digital-edition-l4150-series-_JM?searchVariation=79791739716#searchVariation%3D79791739716%26position%3D44%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,265.0
42,Sony Playstation 5 825gb Estándar Blanco Y Negro,https://articulo.mercadolibre.com.mx/MLM-3351949594-sony-playstation-5-825gb-estandar-blanco-y-negro-_JM?searchVariation=184729062823#searchVariation%3D184729062823%26position%3D45%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,545.0
43,Playstation 5,https://articulo.mercadolibre.com.mx/MLM-1793454424-playstation-5-_JM?searchVariation=176467472256#searchVariation%3D176467472256%26position%3D46%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,385.0
44,Playstation 5 825gb Standard,https://articulo.mercadolibre.com.mx/MLM-3411898952-playstation-5-825gb-standard-_JM?searchVariation=181923017254#searchVariation%3D181923017254%26position%3D47%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,549.95
45,Playstation 5,https://articulo.mercadolibre.com.mx/MLM-2764167840-playstation-5-_JM?searchVariation=181133618423#searchVariation%3D181133618423%26position%3D48%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,510.0
46,Sony Playstation 5,https://articulo.mercadolibre.com.mx/MLM-2165008465-sony-playstation-5-_JM?searchVariation=181958132410#searchVariation%3D181958132410%26position%3D49%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,450.0
47,Playstation 5,https://articulo.mercadolibre.com.mx/MLM-1349508005-playstation-5-_JM?searchVariation=173969745007#searchVariation%3D173969745007%26position%3D50%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,425.0
48,Sony Playstation 5 Standard 825gb Ea Sports Fc 24,https://articulo.mercadolibre.com.mx/MLM-3438315670-sony-playstation-5-standard-825gb-ea-sports-fc-24-_JM?searchVariation=182078737656#searchVariation%3D182078737656%26position%3D51%26search_layout%3Dstack%26type%3Ditem%26tracking_id%3D0ca5437c-cd34-4bd3-9342-7e0458acbb88,400.0
