Unnamed: 0,id,user_id,título,descripcion,categoria_id,precio(€),imagenes,reservado,localización,golpe,reacondicionado,url_producto,posibilidad_envio
0,e658d1l0wg6o,w67d4e81p96x,Ps5,"
Ps5 version lector, con poco uso
funciona perfecta
incluye todos sus cables , mando y caja. 

vendo por comprar la ps5 pro
trato en mano",24200,320.0,[],False,Sanlúcar de Barrameda,none,False,https://es.wallapop.com/item/ps5-1064874748,False
2,qjw4gwn2nwzo,mznl0kwmg0jn,Ps5 lector ,Ps5 de lector total mente nueva aún obteniendo su gran periodo de garantía sus 825 GB que incluyen con juego incluido mando todo correctamente,24200,285.0,[],False,Córdoba,none,False,https://es.wallapop.com/item/ps5-lector-1064867105,True
5,w674nonovw6x,nz0m4kmkldjo,PS5,PS5 prácticamente nueva con casi un mes de uso solo la vendo porque con el trabajo no tenía tiempo para jugar y al final me acabé comprando un pc y no la uso ,24200,350.0,[],False,Isla Cristina,none,False,https://es.wallapop.com/item/ps5-1064858852,True
8,3zl8p2p8d86x,npj94wg4em6e,PS5 Disco + Dualsense V2 Rojo + Juego,"Se vende PS5 con lector de discos con dualsense version 2 en color rojo y el juego exclusivo de PS5 Forspoken precintado. No envio, se puede probar antes de comprar para ver que todo funciona correctamente",24200,350.0,[],False,Priego de Córdoba,none,False,https://es.wallapop.com/item/ps5-disco---dualsense-v2-rojo---juego-1064852021,False
9,pj9m02qp226e,9nz08wvlpv6o,PS5 Disco Play 5 de 1TB nueva,"
Ofrecemos PlayStation 5 versión Disco de Sony, disponible en blanco. El equipo es NUEVO, incluye caja, cables, 2 mandos y accesorios completos. Contamos con varias unidades con batería al 100% y una garantía de 2 años. Aceptamos devoluciones hasta 15 días. Precio fijo, sin negociaciones. Realizamos envíos gestionados directamente por nosotros y pagos seguros fuera de plataformas. Apreciamos su tiempo. Contáctenos para una atención rápida, directa y confiable.",24200,329.79,[],False,Valencia,none,False,https://es.wallapop.com/item/ps5-disco-play-5-de-1tb-nueva-1064844713,True
11,3zl8p25qqq6x,xzo8vgvmew69,Vr 2 ps5,Quasi nuovo ho giocato non più di due ore vendo perché ho poco spazio.......,24200,300.0,[],False,Catanzaro lido,none,False,https://es.wallapop.com/item/vr-2-ps5-1064833869,True
13,xzo2w400vl69,g0j25n44qnjy,PS5,"Vendo PS5 con dos meses de uso, garantía en vigor. Se vende por no usar.",24200,340.0,[],False,Arteixo,none,False,https://es.wallapop.com/item/ps5-1064827657,True
14,qzme0dn32yjv,vjrd15rp1x6k,PS5 Disco 1TB,"Estrena la PS5 con disco de 1TB. Producto 100% original y garantía de 3 años. Envío rápido y seguro. Aceptamos Klarna, Apple Pay y tarjetas. Consultas por Wh2ts2pp. Contrareembolso digital Disponible
",24200,329.19,[],False,Madrid,none,False,https://es.wallapop.com/item/ps5-disco-1tb-1064823532,True
15,xzo2w4de3469,7v6g485pwl6e,Ps5 digital chasis c nueva a estrenar,"Vendo ps5 digital chasis C.La consola es nueva a estrenar.Repito nueva a estrenar,solamente la he probado para ver que está todo correcto. Podéis ver las valoraciones.No hago rebaja ninguna a quien intente regatear.Envio por Mrw",24200,290.0,[],False,Ciudad Real,none,False,https://es.wallapop.com/item/ps5-digital-chasis-c-nueva-a-estrenar-1064820881,False
16,pzp2xe5emlj3,ke657r5v32jo,PS5 con disco,"Vendo PS5 por adquisición de PS5 pro. La entrego con todos los accesorios originales incluido la caja. La consola está en perfectas condiciones.  La caja incluye: cable de alimentación, un mando, un HDMI, soporte para ponerla en vertical y cable de carga del mando.",24200,350.0,[],False,Madrid,none,False,https://es.wallapop.com/item/ps5-con-disco-1064817574,False
